epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,231.242,0.91157,3.52128,1.03045,0.09686,0.8249,0.35474,0.30522,0.84818,3.24212,1.09455,0.000132868,4.42892e-05,0.000132868,4.42892e-05,0.000132868,4.42892e-05,0.000132868,4.42892e-05
86,234.602,0.91712,3.48015,1.03311,0.09673,0.82902,0.35637,0.30703,0.84772,3.23047,1.09444,0.000125057,4.16855e-05,0.000125057,4.16855e-05,0.000125057,4.16855e-05,0.000125057,4.16855e-05
87,237.084,0.94538,3.49475,1.04932,0.09467,0.83436,0.35703,0.30683,0.85419,3.20495,1.09337,0.000117245,3.90818e-05,0.000117245,3.90818e-05,0.000117245,3.90818e-05,0.000117245,3.90818e-05
88,239.544,0.92498,3.55165,1.02962,0.09513,0.8323,0.35902,0.30973,0.8515,3.20635,1.09438,0.000109434,3.64781e-05,0.000109434,3.64781e-05,0.000109434,3.64781e-05,0.000109434,3.64781e-05
89,241.917,0.9132,3.48019,1.03558,0.09509,0.83337,0.36078,0.31098,0.85203,3.2042,1.09748,0.000101623,3.38744e-05,0.000101623,3.38744e-05,0.000101623,3.38744e-05,0.000101623,3.38744e-05
90,245.203,0.93519,3.48785,1.0463,0.09304,0.83551,0.36219,0.31251,0.85151,3.18074,1.09522,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05
91,249.73,0.90821,3.09459,1.02023,0.08827,0.84051,0.35604,0.30536,0.86688,3.1398,1.09083,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05
92,252.092,0.9028,3.16212,1.02383,0.08365,0.8415,0.34782,0.29626,0.87472,3.10499,1.08031,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05
93,254.413,0.88961,3.11656,1.0166,0.08003,0.8457,0.33867,0.28615,0.87873,3.07329,1.0788,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05
94,257.24,0.8794,3.09857,1.02882,0.07733,0.84966,0.32954,0.27657,0.88423,3.05382,1.08458,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05
95,260.192,0.88772,3.09148,1.01465,0.07692,0.85379,0.32532,0.27251,0.90408,3.04713,1.09978,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05
96,262.682,0.89133,3.09001,1.01009,0.07539,0.85058,0.3228,0.26935,0.89338,3.03312,1.09016,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05
97,265.136,0.91,3.10468,1.0069,0.07532,0.85478,0.3179,0.2639,0.89014,3.02685,1.08251,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05
98,267.604,0.88802,3.06031,1.01352,0.07458,0.85272,0.31414,0.25975,0.90703,3.01004,1.09157,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05
99,270.508,0.91221,3.06548,1.0251,0.07445,0.85165,0.31298,0.25848,0.91032,3.0097,1.09372,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06
100,273.332,0.85364,3.03414,1.00402,0.07442,0.84959,0.31285,0.25843,0.91263,3.01153,1.09432,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06
